offense_shortened,offense_decimal,defense_shortened,defense_decimal,total_shortened,total_decimal
[-4.0],[0.9610529639999998],[-4.0],[[0.9610529639999998]],[-4.0],[0.9610529639999998]
[-3.0],[0.6462376810000001],[-3.0],[[0.6462376810000001]],[-3.0],[0.6462376810000001]
[-3.0],[0.361452769],[-3.0],[[0.361452769]],[-3.0],[0.361452769]
[-3.0],[0.16129299900000005],[-3.0],[[0.16129299900000005]],[-3.0],[0.16129299900000005]
[-1.0],[0.05082464200000003],[-1.0],[[0.05082464200000003]],[-1.0],[0.05082464200000003]
[-4.0],[0.9130326150000001],[-4.0],[[0.9130326150000001]],[-4.0],[0.9130326150000001]
[-1.0],[0.662667245],[-1.0],[[0.662667245]],[-1.0],[0.662667245]
[-3.0],[0.800197024],[-3.0],[[0.800197024]],[-3.0],[0.800197024]
[-3.0],[0.384823221],[-3.0],[[0.384823221]],[-3.0],[0.384823221]
[-2.0],[0.9820413699999999],[-2.0],[[0.9820413699999999]],[-2.0],[0.9820413699999999]
[-2.0],[0.8617393820000001],[-2.0],[[0.8617393820000001]],[-2.0],[0.8617393820000001]
[-1.0],[0.34242859800000003],[-1.0],[[0.34242859800000003]],[-1.0],[0.34242859800000003]
[-3.0],[0.8993183600000001],[-3.0],[[0.8993183600000001]],[-3.0],[0.8993183600000001]
[-4.0],[0.9385440580000002],[-4.0],[[0.9385440580000002]],[-4.0],[0.9385440580000002]
[2.0],[0.28324599699999986],[2.0],[[0.28324599699999986]],[2.0],[0.28324599699999986]
[-3.0],[0.04350544600000017],[-3.0],[[0.04350544600000017]],[-3.0],[0.04350544600000017]
[-2.0],[0.764241495],[-2.0],[[0.764241495]],[-2.0],[0.764241495]
[-3.0],[0.352912801],[-3.0],[[0.352912801]],[-3.0],[0.352912801]
[-5.0],[0.8325350460000003],[-5.0],[[0.8325350460000003]],[-5.0],[0.8325350460000003]
[4.0],[0.906030984],[4.0],[[0.906030984]],[4.0],[0.906030984]
[-2.0],[0.6129836719999999],[-2.0],[[0.6129836719999999]],[-2.0],[0.6129836719999999]
[-1.0],[0.594092692],[-1.0],[[0.594092692]],[-1.0],[0.594092692]
[0.0],[0.726678731],[0.0],[[0.726678731]],[0.0],[0.726678731]
[9.0],[0.2826373069999999],[9.0],[[0.2826373069999999]],[9.0],[0.2826373069999999]
[-2.0],[0.13735835499999993],[-2.0],[[0.13735835499999993]],[-2.0],[0.13735835499999993]
[-3.0],[0.6478506199999998],[-3.0],[[0.6478506199999998]],[-3.0],[0.6478506199999998]
[-1.0],[0.157381675],[-1.0],[[0.157381675]],[-1.0],[0.157381675]
[1.0],[0.24369370299999993],[1.0],[[0.24369370299999993]],[1.0],[0.24369370299999993]
[-1.0],[0.267158452],[-1.0],[[0.267158452]],[-1.0],[0.267158452]
[-4.0],[0.393119247],[-4.0],[[0.393119247]],[-4.0],[0.393119247]
[-1.0],[0.5887326509999999],[-1.0],[[0.5887326509999999]],[-1.0],[0.5887326509999999]
[1.0],[0.031706460999999964],[1.0],[[0.031706460999999964]],[1.0],[0.031706460999999964]
[-1.0],[0.940817667],[-1.0],[[0.940817667]],[-1.0],[0.940817667]
[-2.0],[0.8348627550000001],[-2.0],[[0.8348627550000001]],[-2.0],[0.8348627550000001]
[-3.0],[0.39605060000000014],[-3.0],[[0.39605060000000014]],[-3.0],[0.39605060000000014]
[0.0],[0.255800562],[0.0],[[0.255800562]],[0.0],[0.255800562]
[-2.0],[0.324904528],[-2.0],[[0.324904528]],[-2.0],[0.324904528]
[0.0],[0.872592544],[0.0],[[0.872592544]],[0.0],[0.872592544]
[3.0],[0.5057991089999998],[3.0],[[0.5057991089999998]],[3.0],[0.5057991089999998]
[-1.0],[0.05377794999999996],[-1.0],[[0.05377794999999996]],[-1.0],[0.05377794999999996]
[-1.0],[0.026160350000000054],[-1.0],[[0.026160350000000054]],[-1.0],[0.026160350000000054]
[-1.0],[0.570240846],[-1.0],[[0.570240846]],[-1.0],[0.570240846]
[-1.0],[0.134152331],[-1.0],[[0.134152331]],[-1.0],[0.134152331]
[-5.0],[0.23902409999999996],[-5.0],[[0.23902409999999996]],[-5.0],[0.23902409999999996]
[-1.0],[0.309684046],[-1.0],[[0.309684046]],[-1.0],[0.309684046]
[-1.0],[0.07045215999999999],[-1.0],[[0.07045215999999999]],[-1.0],[0.07045215999999999]
[-3.0],[0.6081990309999998],[-3.0],[[0.6081990309999998]],[-3.0],[0.6081990309999998]
[2.0],[0.48083748999999987],[2.0],[[0.48083748999999987]],[2.0],[0.48083748999999987]
[1.0],[0.90053139],[1.0],[[0.90053139]],[1.0],[0.90053139]
[-3.0],[0.724697983],[-3.0],[[0.724697983]],[-3.0],[0.724697983]
[2.0],[0.9360655269999998],[2.0],[[0.9360655269999998]],[2.0],[0.9360655269999998]
[1.0],[0.2970391720000001],[1.0],[[0.2970391720000001]],[1.0],[0.2970391720000001]
[0.0],[0.360477109],[0.0],[[0.360477109]],[0.0],[0.360477109]
[-2.0],[0.62887351],[-2.0],[[0.62887351]],[-2.0],[0.62887351]
[-1.0],[0.049791448000000016],[-1.0],[[0.049791448000000016]],[-1.0],[0.049791448000000016]
[-2.0],[0.7923759020000001],[-2.0],[[0.7923759020000001]],[-2.0],[0.7923759020000001]
[-6.0],[0.8606937950000004],[-6.0],[[0.8606937950000004]],[-6.0],[0.8606937950000004]
[-5.0],[0.9481425769999996],[-5.0],[[0.9481425769999996]],[-5.0],[0.9481425769999996]
[0.0],[0.878736744],[0.0],[[0.878736744]],[0.0],[0.878736744]
[-1.0],[0.682468217],[-1.0],[[0.682468217]],[-1.0],[0.682468217]
[-1.0],[0.883802561],[-1.0],[[0.883802561]],[-1.0],[0.883802561]
[-1.0],[0.6174432670000001],[-1.0],[[0.6174432670000001]],[-1.0],[0.6174432670000001]
[-2.0],[0.25048125199999993],[-2.0],[[0.25048125199999993]],[-2.0],[0.25048125199999993]
[2.0],[0.564404358],[2.0],[[0.564404358]],[2.0],[0.564404358]
[-2.0],[0.9922291080000001],[-2.0],[[0.9922291080000001]],[-2.0],[0.9922291080000001]
[-1.0],[0.771653654],[-1.0],[[0.771653654]],[-1.0],[0.771653654]
[-7.0],[0.2152778470000003],[-7.0],[[0.2152778470000003]],[-7.0],[0.2152778470000003]
[-1.0],[0.505539198],[-1.0],[[0.505539198]],[-1.0],[0.505539198]
[-3.0],[0.8456287420000002],[-3.0],[[0.8456287420000002]],[-3.0],[0.8456287420000002]
[5.0],[0.8432085679999997],[5.0],[[0.8432085679999997]],[5.0],[0.8432085679999997]
[-2.0],[0.38279049899999995],[-2.0],[[0.38279049899999995]],[-2.0],[0.38279049899999995]
[-1.0],[0.498163126],[-1.0],[[0.498163126]],[-1.0],[0.498163126]
[-18.0],[0.612680300000001],[-18.0],[[0.612680300000001]],[-18.0],[0.612680300000001]
[1.0],[0.6885184289999999],[1.0],[[0.6885184289999999]],[1.0],[0.6885184289999999]
[-2.0],[0.7153169559999999],[-2.0],[[0.7153169559999999]],[-2.0],[0.7153169559999999]
[-4.0],[0.6245087850000002],[-4.0],[[0.6245087850000002]],[-4.0],[0.6245087850000002]
[-5.0],[0.33132108900000024],[-5.0],[[0.33132108900000024]],[-5.0],[0.33132108900000024]
[4.0],[0.48640125499999964],[4.0],[[0.48640125499999964]],[4.0],[0.48640125499999964]
[-5.0],[0.7644410769999999],[-5.0],[[0.7644410769999999]],[-5.0],[0.7644410769999999]
[-2.0],[0.379689763],[-2.0],[[0.379689763]],[-2.0],[0.379689763]
[1.0],[0.9328231499999999],[1.0],[[0.9328231499999999]],[1.0],[0.9328231499999999]
[1.0],[0.35771478300000004],[1.0],[[0.35771478300000004]],[1.0],[0.35771478300000004]
[0.0],[0.731419545],[0.0],[[0.731419545]],[0.0],[0.731419545]
[3.0],[0.5702842129999999],[3.0],[[0.5702842129999999]],[3.0],[0.5702842129999999]
[-1.0],[0.7207320939999999],[-1.0],[[0.7207320939999999]],[-1.0],[0.7207320939999999]
[1.0],[0.14611146400000008],[1.0],[[0.14611146400000008]],[1.0],[0.14611146400000008]
[0.0],[0.818653419],[0.0],[[0.818653419]],[0.0],[0.818653419]
[-1.0],[0.397494609],[-1.0],[[0.397494609]],[-1.0],[0.397494609]
[-2.0],[0.44925574299999993],[-2.0],[[0.44925574299999993]],[-2.0],[0.44925574299999993]
[-1.0],[0.06861805399999998],[-1.0],[[0.06861805399999998]],[-1.0],[0.06861805399999998]
[-1.0],[0.919710227],[-1.0],[[0.919710227]],[-1.0],[0.919710227]
[-1.0],[0.29212767799999995],[-1.0],[[0.29212767799999995]],[-1.0],[0.29212767799999995]
[-5.0],[0.3707369859999998],[-5.0],[[0.3707369859999998]],[-5.0],[0.3707369859999998]
[-4.0],[0.29270282400000003],[-4.0],[[0.29270282400000003]],[-4.0],[0.29270282400000003]
[-8.0],[0.15589238000000005],[-8.0],[[0.15589238000000005]],[-8.0],[0.15589238000000005]
[-1.0],[0.938143241],[-1.0],[[0.938143241]],[-1.0],[0.938143241]
[-4.0],[0.04425405799999993],[-4.0],[[0.04425405799999993]],[-4.0],[0.04425405799999993]
[-2.0],[0.6104771120000001],[-2.0],[[0.6104771120000001]],[-2.0],[0.6104771120000001]
[-2.0],[0.9151738979999999],[-2.0],[[0.9151738979999999]],[-2.0],[0.9151738979999999]
[-2.0],[0.3282505819999999],[-2.0],[[0.3282505819999999]],[-2.0],[0.3282505819999999]
[-3.0],[0.12934190899999987],[-3.0],[[0.12934190899999987]],[-3.0],[0.12934190899999987]
[-1.0],[0.618631767],[-1.0],[[0.618631767]],[-1.0],[0.618631767]
[-1.0],[0.722315679],[-1.0],[[0.722315679]],[-1.0],[0.722315679]
[-1.0],[0.09000578199999998],[-1.0],[[0.09000578199999998]],[-1.0],[0.09000578199999998]
[-4.0],[0.10682077600000017],[-4.0],[[0.10682077600000017]],[-4.0],[0.10682077600000017]
[-2.0],[0.26540588899999995],[-2.0],[[0.26540588899999995]],[-2.0],[0.26540588899999995]
[0.0],[0.16771278],[0.0],[[0.16771278]],[0.0],[0.16771278]
[-2.0],[0.35558048900000006],[-2.0],[[0.35558048900000006]],[-2.0],[0.35558048900000006]
[-1.0],[0.03854551500000003],[-1.0],[[0.03854551500000003]],[-1.0],[0.03854551500000003]
[0.0],[0.155456357],[0.0],[[0.155456357]],[0.0],[0.155456357]
[-1.0],[0.840035476],[-1.0],[[0.840035476]],[-1.0],[0.840035476]
[2.0],[0.19394826700000012],[2.0],[[0.19394826700000012]],[2.0],[0.19394826700000012]
[0.0],[0.533439767],[0.0],[[0.533439767]],[0.0],[0.533439767]
[0.0],[0.848042614],[0.0],[[0.848042614]],[0.0],[0.848042614]
[-1.0],[0.19314398300000002],[-1.0],[[0.19314398300000002]],[-1.0],[0.19314398300000002]
[-4.0],[0.41841551600000004],[-4.0],[[0.41841551600000004]],[-4.0],[0.41841551600000004]
[1.0],[0.2598374189999999],[1.0],[[0.2598374189999999]],[1.0],[0.2598374189999999]
[0.0],[0.498955366],[0.0],[[0.498955366]],[0.0],[0.498955366]
[-3.0],[0.5475172480000001],[-3.0],[[0.5475172480000001]],[-3.0],[0.5475172480000001]
[-2.0],[0.605812046],[-2.0],[[0.605812046]],[-2.0],[0.605812046]
[1.0],[0.802663211],[1.0],[[0.802663211]],[1.0],[0.802663211]
[1.0],[0.649003056],[1.0],[[0.649003056]],[1.0],[0.649003056]
[-2.0],[0.04721903900000002],[-2.0],[[0.04721903900000002]],[-2.0],[0.04721903900000002]
[-1.0],[0.968491079],[-1.0],[[0.968491079]],[-1.0],[0.968491079]
[3.0],[0.14331646099999995],[3.0],[[0.14331646099999995]],[3.0],[0.14331646099999995]
[-1.0],[0.567218648],[-1.0],[[0.567218648]],[-1.0],[0.567218648]
[-1.0],[0.520827256],[-1.0],[[0.520827256]],[-1.0],[0.520827256]
[0.0],[0.080266704],[0.0],[[0.080266704]],[0.0],[0.080266704]
[-1.0],[0.7422098189999999],[-1.0],[[0.7422098189999999]],[-1.0],[0.7422098189999999]
[-4.0],[0.9597790700000002],[-4.0],[[0.9597790700000002]],[-4.0],[0.9597790700000002]
[-3.0],[0.7925574069999999],[-3.0],[[0.7925574069999999]],[-3.0],[0.7925574069999999]
[-1.0],[0.27656171900000004],[-1.0],[[0.27656171900000004]],[-1.0],[0.27656171900000004]
[-6.0],[0.9827773249999998],[-6.0],[[0.9827773249999998]],[-6.0],[0.9827773249999998]
[-7.0],[0.6352661169999996],[-7.0],[[0.6352661169999996]],[-7.0],[0.6352661169999996]
[0.0],[0.974506118],[0.0],[[0.974506118]],[0.0],[0.974506118]
[-8.0],[0.06378685199999978],[-8.0],[[0.06378685199999978]],[-8.0],[0.06378685199999978]
[2.0],[0.029299272999999904],[2.0],[[0.029299272999999904]],[2.0],[0.029299272999999904]
[3.0],[0.03756847899999993],[3.0],[[0.03756847899999993]],[3.0],[0.03756847899999993]
[-4.0],[0.7556631089999999],[-4.0],[[0.7556631089999999]],[-4.0],[0.7556631089999999]
[-6.0],[0.4309644629999996],[-6.0],[[0.4309644629999996]],[-6.0],[0.4309644629999996]
[0.0],[0.144677688],[0.0],[[0.144677688]],[0.0],[0.144677688]
[-2.0],[0.883188407],[-2.0],[[0.883188407]],[-2.0],[0.883188407]
[-3.0],[0.7121865199999999],[-3.0],[[0.7121865199999999]],[-3.0],[0.7121865199999999]
[-1.0],[0.19486506000000003],[-1.0],[[0.19486506000000003]],[-1.0],[0.19486506000000003]
[-1.0],[0.24405241099999997],[-1.0],[[0.24405241099999997]],[-1.0],[0.24405241099999997]
[-3.0],[0.7151618179999999],[-3.0],[[0.7151618179999999]],[-3.0],[0.7151618179999999]
[0.0],[0.871146824],[0.0],[[0.871146824]],[0.0],[0.871146824]
[-2.0],[0.8748415789999999],[-2.0],[[0.8748415789999999]],[-2.0],[0.8748415789999999]
[0.0],[0.662265617],[0.0],[[0.662265617]],[0.0],[0.662265617]
[-2.0],[0.7403833559999999],[-2.0],[[0.7403833559999999]],[-2.0],[0.7403833559999999]
[-5.0],[0.886923404],[-5.0],[[0.886923404]],[-5.0],[0.886923404]
[-3.0],[0.06279603200000006],[-3.0],[[0.06279603200000006]],[-3.0],[0.06279603200000006]
[-16.0],[0.051842739999999665],[-16.0],[[0.051842739999999665]],[-16.0],[0.051842739999999665]
[-5.0],[0.7711210319999999],[-5.0],[[0.7711210319999999]],[-5.0],[0.7711210319999999]
[-1.0],[0.5415352950000001],[-1.0],[[0.5415352950000001]],[-1.0],[0.5415352950000001]
[0.0],[0.680606956],[0.0],[[0.680606956]],[0.0],[0.680606956]
[-4.0],[0.6059849169999998],[-4.0],[[0.6059849169999998]],[-4.0],[0.6059849169999998]
[2.0],[0.058439619000000054],[2.0],[[0.058439619000000054]],[2.0],[0.058439619000000054]
[-2.0],[0.00026783500000004956],[-2.0],[[0.00026783500000004956]],[-2.0],[0.00026783500000004956]
[2.0],[0.46611894200000004],[2.0],[[0.46611894200000004]],[2.0],[0.46611894200000004]
[-3.0],[0.28879214899999983],[-3.0],[[0.28879214899999983]],[-3.0],[0.28879214899999983]
[-1.0],[0.266028735],[-1.0],[[0.266028735]],[-1.0],[0.266028735]
[-3.0],[0.14104623799999993],[-3.0],[[0.14104623799999993]],[-3.0],[0.14104623799999993]
[11.0],[0.7800050200000008],[11.0],[[0.7800050200000008]],[11.0],[0.7800050200000008]
[-2.0],[0.08947952399999992],[-2.0],[[0.08947952399999992]],[-2.0],[0.08947952399999992]
[-1.0],[0.342449004],[-1.0],[[0.342449004]],[-1.0],[0.342449004]
[1.0],[0.861971432],[1.0],[[0.861971432]],[1.0],[0.861971432]
[-1.0],[0.18769317799999996],[-1.0],[[0.18769317799999996]],[-1.0],[0.18769317799999996]
[0.0],[0.558543299],[0.0],[[0.558543299]],[0.0],[0.558543299]
[1.0],[0.03756073999999998],[1.0],[[0.03756073999999998]],[1.0],[0.03756073999999998]
[-1.0],[0.486331258],[-1.0],[[0.486331258]],[-1.0],[0.486331258]
[-2.0],[0.387187065],[-2.0],[[0.387187065]],[-2.0],[0.387187065]
[-3.0],[0.7276485250000002],[-3.0],[[0.7276485250000002]],[-3.0],[0.7276485250000002]
[2.0],[0.27451803099999994],[2.0],[[0.27451803099999994]],[2.0],[0.27451803099999994]
[-14.0],[0.17174014999999976],[-14.0],[[0.17174014999999976]],[-14.0],[0.17174014999999976]
[-2.0],[0.3755604910000001],[-2.0],[[0.3755604910000001]],[-2.0],[0.3755604910000001]
[-7.0],[0.8846088419999996],[-7.0],[[0.8846088419999996]],[-7.0],[0.8846088419999996]
[1.0],[0.7917616380000001],[1.0],[[0.7917616380000001]],[1.0],[0.7917616380000001]
[-7.0],[0.8936330180000001],[-7.0],[[0.8936330180000001]],[-7.0],[0.8936330180000001]
[-3.0],[0.428260222],[-3.0],[[0.428260222]],[-3.0],[0.428260222]
[0.0],[0.723571747],[0.0],[[0.723571747]],[0.0],[0.723571747]
[-4.0],[0.9846570799999999],[-4.0],[[0.9846570799999999]],[-4.0],[0.9846570799999999]
[-3.0],[0.36468690699999984],[-3.0],[[0.36468690699999984]],[-3.0],[0.36468690699999984]
[-5.0],[0.15467637700000036],[-5.0],[[0.15467637700000036]],[-5.0],[0.15467637700000036]
[-3.0],[0.5812316709999998],[-3.0],[[0.5812316709999998]],[-3.0],[0.5812316709999998]
[-4.0],[0.7389156670000001],[-4.0],[[0.7389156670000001]],[-4.0],[0.7389156670000001]
[-5.0],[0.07390151800000044],[-5.0],[[0.07390151800000044]],[-5.0],[0.07390151800000044]
[-2.0],[0.05850030100000003],[-2.0],[[0.05850030100000003]],[-2.0],[0.05850030100000003]
[1.0],[0.5920515749999999],[1.0],[[0.5920515749999999]],[1.0],[0.5920515749999999]
[-4.0],[0.8952105449999999],[-4.0],[[0.8952105449999999]],[-4.0],[0.8952105449999999]
[-3.0],[0.9811701240000001],[-3.0],[[0.9811701240000001]],[-3.0],[0.9811701240000001]
[-1.0],[0.503981607],[-1.0],[[0.503981607]],[-1.0],[0.503981607]
[-1.0],[0.689013256],[-1.0],[[0.689013256]],[-1.0],[0.689013256]
[-2.0],[0.6631527290000001],[-2.0],[[0.6631527290000001]],[-2.0],[0.6631527290000001]
[0.0],[0.932913389],[0.0],[[0.932913389]],[0.0],[0.932913389]
[-2.0],[0.362668027],[-2.0],[[0.362668027]],[-2.0],[0.362668027]
[4.0],[0.49710389899999985],[4.0],[[0.49710389899999985]],[4.0],[0.49710389899999985]
[-3.0],[0.6332556349999998],[-3.0],[[0.6332556349999998]],[-3.0],[0.6332556349999998]
[-3.0],[0.695303386],[-3.0],[[0.695303386]],[-3.0],[0.695303386]
[-1.0],[0.712643512],[-1.0],[[0.712643512]],[-1.0],[0.712643512]
[-3.0],[0.25012340199999983],[-3.0],[[0.25012340199999983]],[-3.0],[0.25012340199999983]
[-1.0],[0.065369915],[-1.0],[[0.065369915]],[-1.0],[0.065369915]
[0.0],[0.927633041],[0.0],[[0.927633041]],[0.0],[0.927633041]
[-6.0],[0.7034970170000001],[-6.0],[[0.7034970170000001]],[-6.0],[0.7034970170000001]
[-6.0],[0.9363788900000003],[-6.0],[[0.9363788900000003]],[-6.0],[0.9363788900000003]
[-3.0],[0.7468851249999999],[-3.0],[[0.7468851249999999]],[-3.0],[0.7468851249999999]
[-2.0],[0.9221943539999999],[-2.0],[[0.9221943539999999]],[-2.0],[0.9221943539999999]
[-14.0],[0.9432006000000008],[-14.0],[[0.9432006000000008]],[-14.0],[0.9432006000000008]
[-1.0],[0.0043621430000000405],[-1.0],[[0.0043621430000000405]],[-1.0],[0.0043621430000000405]
[-5.0],[0.8847301270000001],[-5.0],[[0.8847301270000001]],[-5.0],[0.8847301270000001]
[-1.0],[0.48128883600000005],[-1.0],[[0.48128883600000005]],[-1.0],[0.48128883600000005]
[0.0],[0.363947663],[0.0],[[0.363947663]],[0.0],[0.363947663]
[-3.0],[0.6532485299999999],[-3.0],[[0.6532485299999999]],[-3.0],[0.6532485299999999]
[-1.0],[0.804495863],[-1.0],[[0.804495863]],[-1.0],[0.804495863]
[12.0],[0.3635262000000008],[12.0],[[0.3635262000000008]],[12.0],[0.3635262000000008]
[-1.0],[0.33625257399999997],[-1.0],[[0.33625257399999997]],[-1.0],[0.33625257399999997]
[-2.0],[0.3289252730000001],[-2.0],[[0.3289252730000001]],[-2.0],[0.3289252730000001]
[3.0],[0.8467703289999999],[3.0],[[0.8467703289999999]],[3.0],[0.8467703289999999]
[0.0],[0.439872181],[0.0],[[0.439872181]],[0.0],[0.439872181]
[-1.0],[0.07890659600000005],[-1.0],[[0.07890659600000005]],[-1.0],[0.07890659600000005]
[-5.0],[0.1704433019999998],[-5.0],[[0.1704433019999998]],[-5.0],[0.1704433019999998]
[-1.0],[0.286933671],[-1.0],[[0.286933671]],[-1.0],[0.286933671]
[-3.0],[0.092037849],[-3.0],[[0.092037849]],[-3.0],[0.092037849]
[0.0],[0.817543474],[0.0],[[0.817543474]],[0.0],[0.817543474]
[-1.0],[0.615455689],[-1.0],[[0.615455689]],[-1.0],[0.615455689]
[-1.0],[0.0010556840000000012],[-1.0],[[0.0010556840000000012]],[-1.0],[0.0010556840000000012]
[-5.0],[0.3625394350000004],[-5.0],[[0.3625394350000004]],[-5.0],[0.3625394350000004]
[2.0],[0.05153937499999994],[2.0],[[0.05153937499999994]],[2.0],[0.05153937499999994]
[-3.0],[0.777807219],[-3.0],[[0.777807219]],[-3.0],[0.777807219]
[-4.0],[0.8978462569999999],[-4.0],[[0.8978462569999999]],[-4.0],[0.8978462569999999]
[-2.0],[0.09192880300000006],[-2.0],[[0.09192880300000006]],[-2.0],[0.09192880300000006]
[-1.0],[0.48616052899999995],[-1.0],[[0.48616052899999995]],[-1.0],[0.48616052899999995]
[-2.0],[0.09137502500000005],[-2.0],[[0.09137502500000005]],[-2.0],[0.09137502500000005]
[-4.0],[0.79942124],[-4.0],[[0.79942124]],[-4.0],[0.79942124]
[-2.0],[0.833040955],[-2.0],[[0.833040955]],[-2.0],[0.833040955]
[0.0],[0.976657023],[0.0],[[0.976657023]],[0.0],[0.976657023]
[-2.0],[0.015233735000000026],[-2.0],[[0.015233735000000026]],[-2.0],[0.015233735000000026]
[-5.0],[0.8911990569999997],[-5.0],[[0.8911990569999997]],[-5.0],[0.8911990569999997]
[-8.0],[0.7105824939999996],[-8.0],[[0.7105824939999996]],[-8.0],[0.7105824939999996]
[0.0],[0.641238488],[0.0],[[0.641238488]],[0.0],[0.641238488]
[1.0],[0.09235408100000009],[1.0],[[0.09235408100000009]],[1.0],[0.09235408100000009]
[1.0],[0.938167754],[1.0],[[0.938167754]],[1.0],[0.938167754]
[-1.0],[0.40767425],[-1.0],[[0.40767425]],[-1.0],[0.40767425]
[-8.0],[0.7416310209999999],[-8.0],[[0.7416310209999999]],[-8.0],[0.7416310209999999]
[-1.0],[0.19386525899999996],[-1.0],[[0.19386525899999996]],[-1.0],[0.19386525899999996]
[-1.0],[0.09829946],[-1.0],[[0.09829946]],[-1.0],[0.09829946]
[-1.0],[0.12143954199999996],[-1.0],[[0.12143954199999996]],[-1.0],[0.12143954199999996]
[-28.0],[0.126583440000001],[-28.0],[[0.126583440000001]],[-28.0],[0.126583440000001]
[23.0],[0.28730024000000043],[23.0],[[0.28730024000000043]],[23.0],[0.28730024000000043]
[-1.0],[0.39341665400000003],[-1.0],[[0.39341665400000003]],[-1.0],[0.39341665400000003]
[-1.0],[0.27967321599999995],[-1.0],[[0.27967321599999995]],[-1.0],[0.27967321599999995]
[-3.0],[0.410605377],[-3.0],[[0.410605377]],[-3.0],[0.410605377]
[0.0],[0.185195049],[0.0],[[0.185195049]],[0.0],[0.185195049]
[-1.0],[0.5164861000000001],[-1.0],[[0.5164861000000001]],[-1.0],[0.5164861000000001]
[-3.0],[0.5972175659999999],[-3.0],[[0.5972175659999999]],[-3.0],[0.5972175659999999]
[-3.0],[0.46815563000000004],[-3.0],[[0.46815563000000004]],[-3.0],[0.46815563000000004]
[0.0],[0.03097859],[0.0],[[0.03097859]],[0.0],[0.03097859]
[-9.0],[0.5225329789999993],[-9.0],[[0.5225329789999993]],[-9.0],[0.5225329789999993]
[3.0],[0.17123728400000005],[3.0],[[0.17123728400000005]],[3.0],[0.17123728400000005]
[-6.0],[0.9865457510000004],[-6.0],[[0.9865457510000004]],[-6.0],[0.9865457510000004]
[2.0],[0.2253111510000001],[2.0],[[0.2253111510000001]],[2.0],[0.2253111510000001]
[-3.0],[0.3757368950000002],[-3.0],[[0.3757368950000002]],[-3.0],[0.3757368950000002]
[-4.0],[0.08455109500000013],[-4.0],[[0.08455109500000013]],[-4.0],[0.08455109500000013]
[0.0],[0.329350476],[0.0],[[0.329350476]],[0.0],[0.329350476]
[1.0],[0.029985707000000028],[1.0],[[0.029985707000000028]],[1.0],[0.029985707000000028]
[-4.0],[0.6315111710000001],[-4.0],[[0.6315111710000001]],[-4.0],[0.6315111710000001]
[1.0],[0.037717781000000006],[1.0],[[0.037717781000000006]],[1.0],[0.037717781000000006]
[-3.0],[0.9514639900000001],[-3.0],[[0.9514639900000001]],[-3.0],[0.9514639900000001]
[4.0],[0.8719400889999998],[4.0],[[0.8719400889999998]],[4.0],[0.8719400889999998]
[0.0],[0.607970377],[0.0],[[0.607970377]],[0.0],[0.607970377]
[-3.0],[0.7288734749999999],[-3.0],[[0.7288734749999999]],[-3.0],[0.7288734749999999]
[-3.0],[0.9370816710000001],[-3.0],[[0.9370816710000001]],[-3.0],[0.9370816710000001]
